distance_km,traffic_level,weather_factor,time_of_day,peak_hour,actual_eta
19.35,1,1.04,23,0,38.1
47.59,1,1.38,14,0,93.7
36.87,1,1.05,14,0,72.8
30.33,5,0.82,5,0,73.0
8.64,4,1.38,11,0,28.1
8.64,5,1.04,19,1,35.9
3.85,4,1.34,17,1,25.8
43.44,5,1.05,13,0,95.3
30.45,5,1.4,1,0,70.8
35.7,3,0.95,8,1,77.9
2.01,5,1.48,4,0,22.4
48.53,2,1.35,19,1,100.9
41.79,3,0.88,0,0,86.7
11.4,5,1.2,22,0,37.8
9.91,1,1.49,2,0,24.8
9.99,2,1.13,5,0,26.1
15.91,2,0.93,4,0,35.8
26.71,2,1.14,20,1,61.5
22.17,3,1.16,4,0,52.2
15.27,5,1.32,0,0,42.7
30.98,5,1.29,16,0,72.3
7.84,1,1.08,18,1,23.2
15.32,1,0.95,13,0,31.4
18.95,2,1.25,11,0,42.8
23.35,1,1.1,9,1,49.9
39.47,3,0.89,19,1,89.3
10.78,5,1.43,20,1,39.4
26.2,2,1.28,17,1,60.9
30.03,1,1.28,23,0,62.1
3.28,3,1.38,10,1,21.2
30.77,3,1.17,1,0,62.9
9.36,1,1.37,17,1,27.8
4.19,5,1.15,6,0,22.2
47.5,1,0.85,23,0,87.1
48.32,2,1.08,14,0,95.6
40.61,1,1.15,10,1,84.4
15.93,3,1.3,17,1,46.8
5.79,1,0.87,22,0,13.9
34.53,5,0.9,11,0,74.9
22.57,4,0.98,5,0,53.0
6.98,1,0.99,19,1,22.9
25.26,5,1.31,22,0,63.3
2.69,5,0.98,12,0,22.4
45.56,3,1.24,19,1,100.1
13.68,5,1.15,15,0,41.0
33.46,5,1.2,17,1,82.5
16.27,5,1.39,9,1,50.0
26.48,5,1.08,22,0,63.7
27.79,2,1.34,7,0,57.3
10.06,2,1.1,17,1,31.5
48.51,3,1.05,20,1,103.1
38.98,1,1.47,0,0,79.7
47.04,5,0.93,22,0,99.6
44.85,1,0.86,7,0,85.9
30.3,1,1.34,5,0,61.4
46.17,3,0.85,4,0,92.5
5.34,5,1.39,14,0,25.1
10.6,5,1.11,21,0,36.9
3.22,4,1.44,14,0,18.6
16.94,1,1.31,1,0,34.9
20.05,1,1.23,0,0,43.3
14.3,2,1.46,22,0,36.9
41.61,4,1.08,22,0,87.5
18.48,2,1.47,10,1,47.0
14.77,2,0.89,9,1,39.7
27.59,2,1.14,17,1,62.0
7.91,3,0.99,17,1,28.5
40.31,3,1.18,16,0,84.9
4.65,2,0.91,7,0,17.0
49.36,4,1.39,14,0,105.0
38.84,1,1.39,7,0,74.7
10.74,4,1.47,16,0,33.0
1.27,5,0.91,11,0,17.9
40.96,3,1.24,7,0,83.5
35.64,1,1.13,13,0,71.0
36.72,1,1.04,3,0,73.6
38.79,5,1.05,0,0,84.6
4.63,5,1.09,0,0,24.2
18.56,2,1.29,18,1,49.5
6.68,3,1.22,15,0,25.9
43.29,3,1.12,13,0,89.9
31.54,4,0.85,20,1,75.2
17.21,2,0.85,15,0,37.3
4.11,2,0.8,4,0,15.3
16.24,2,1.48,8,1,44.5
16.93,2,0.8,1,0,37.6
36.75,3,0.87,17,1,80.4
32.24,3,1.02,5,0,66.7
44.47,2,1.37,8,1,91.5
24.14,4,1.47,0,0,54.9
6.86,1,1.35,8,1,24.8
35.95,1,1.28,15,0,71.3
